Part Number,Model,Description,QTY
12427600000049,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,"Smoke Exhaust Fan [Inducer Gasket] (3 1/4"")",0
12127600000015,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Smoke exhaust Fuel Discharge elbow,0
11201006000010,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Special Flame sensor ,0
17400513001114,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Thermostat [Chamber limit switch],0
17400513000045,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Thermostat [Rollout Switch resettable],0
17401203016840,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Wire Harness strong elect cable,0
15427600000060,MGH96M080B3 / MGH96M080C4,"Gas Pipe Assembly (13 1/2"") (4 Nozzle)",0
12127600000019,MGH96M080C4 / MGH96M100C5,Drain box weld assembly,0
12427600000033,MGH96M080C4 / MGH96M100C5,"Drip tray Gasket (Drainage Pan) (14 x 3 1/2"")",0
12223000001933,MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Bracket Assembly I for Motor,0
12200102000031,MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,"Centrifugal Fan (Entrance size : 13 3/4 x 9"")",0
15427600000061,MGH96M100C5 / MGH96M100D5,"Gas Pipe Assembly (16"") (5 Nozzle)",0
17400801000935,MGH96M100C5 / MGH96M100D5  / MGH96M120D5,Exhaust fan components [Inducer],0
11002015011987,MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Brushless DC Motor,0
12127600000020,MGH96M100D5 / MGH96M120D5,Drain box weld assembly,0
12427600000034,MGH96M100D5 / MGH96M120D5,"Drip tray Gasket (Drainage Pan) (17 x 3 1/2"")",0
15427600000063,MGH96M120D5,"Gas Pipe Assembly (18 1/2"") (6 Nozzle)",0
12023000000140,TGV654-2 Series,Accessory Package Kit,0
22013-002133,DXTH24E426-20,Remote Control,0
HOH16S-36AAA,HOH16S-36AAA,Heat Pump Unit (2-3 Ton),6
HVTAN-36AA,HVTAN-36AA,Air Handler (3 Ton),6
WTM1002BZ,WTM1002BZ,Electric Heat Kit,0
